"Artist Name","Apple Music","Amazon Music","Spotify"
"Aglio olio e peperoncino","https://music.apple.com/us/artist/aglio-olio-e-peperoncino/1719963775","https://music.amazon.co.jp/artists/B0CK8MMJPX","https://open.spotify.com/artist/2sphPlWWuA5u3Ae4Vslq8t"
"Airani Iofifteen","https://music.apple.com/us/artist/airani-iofifteen/1613643338","https://music.amazon.co.jp/artists/B09NSGDYZ1","https://open.spotify.com/artist/0AbLToInO6rHigBNhGZBGq"
"Akai Haato","https://music.apple.com/us/artist/akai-haato/1567324094","https://music.amazon.co.jp/artists/B08LH1GWPX","https://open.spotify.com/artist/4NgITXm3vMqS9UliUXVJSW"
"AkamiKarubi","https://music.apple.com/us/artist/akamikarubi/1775630955","",""
"Akari Yumeno","https://music.apple.com/us/artist/akari-yumeno/1841779218","",""
"Aki Rosenthal","https://music.apple.com/us/artist/aki-rosenthal/1511311647","https://music.amazon.co.jp/artists/B08LH3XP9M","https://open.spotify.com/artist/1OanXg0yuvFqbHPzeKlKKQ"
"Amaki Pururu","https://music.apple.com/us/artist/amaki-pururu/1832167356","",""
"Amane Kanata","https://music.apple.com/us/artist/amane-kanata/1573415743","https://music.amazon.co.jp/artists/B08SVWTJJ2","https://open.spotify.com/artist/0fgB5YKM5Dg3TjIIGn1U8L"
"Amatsuka Uto","https://music.apple.com/us/artist/amatsuka-uto/1576289660","https://music.amazon.co.jp/artists/B08YRQ42QB","https://open.spotify.com/artist/6Z8Tt1XqwaO1znge5RCJn5"
"Ange Katrina","https://music.apple.com/us/artist/ange-katrina/1514527896","https://music.amazon.co.jp/artists/B08HQ83TR5","https://open.spotify.com/artist/5YFXEyfGPgR5EW04Q7AYSS"
"Anko Kisaki","https://music.apple.com/us/artist/anko-kisaki/1551574978","",""
"Anya Melfissa","https://music.apple.com/us/artist/anya-melfissa/1632870604","https://music.amazon.co.jp/artists/B09QMWXR7L","https://open.spotify.com/artist/7IgTyGobZbeZXMqVGtyuXt"
"Aomiya Yozuri","https://music.apple.com/us/artist/aomiya-yozuri/1734943695","https://music.amazon.co.jp/artists/B0CMMW97HJ","https://open.spotify.com/artist/0AxPzCixVWkv38HnXjJrjH"
"asanoruri","https://music.apple.com/us/artist/asanoruri/1472513900","https://music.amazon.co.jp/artists/B07G4PDWJD","https://open.spotify.com/artist/0Uh0LT1tKdi9JI9t8RVi9Q"
"Audrey Mina","https://music.apple.com/us/artist/audrey-mina/1729705629","https://music.amazon.co.jp/artists/B0CJ63Z413","https://open.spotify.com/artist/6cyVY3KkoDCjKKxBMfzrim"
"AyaFubuMi","https://music.apple.com/us/artist/ayafubumi/1602207451","https://music.amazon.co.jp/artists/B09MZZZTCG","https://open.spotify.com/artist/5PTCfA9rHh84DMDQvmXXgR"
"Ayunda Risu","https://music.apple.com/us/artist/ayunda-risu/1604379294","https://music.amazon.co.jp/artists/B09P4PDMJ8","https://open.spotify.com/artist/0DLGRxn8ekwxFrkzEtvKkH"
"AZKi","https://music.apple.com/us/artist/azki/1446516797","https://music.amazon.co.jp/artists/B07H2VL9N9","https://open.spotify.com/artist/1zSv9qZANYwxvxLqNd2BnT"
"Blue Journey","https://music.apple.com/us/artist/blue-journey/1681528593","https://music.amazon.co.jp/artists/B0BV8QH4QR","https://open.spotify.com/artist/0zsKWnFbxs7cw7roqgd7h9"
"BOOGEY VOXX","https://music.apple.com/us/artist/boogey-voxx/1510134548","https://music.amazon.co.jp/artists/B088P6YJ3Y","https://open.spotify.com/artist/1jg8CgDlHSZNb9qMeYjrku"
"Cecilia Immergreen","https://music.apple.com/us/artist/cecilia-immergreen/1753197578","https://music.amazon.co.jp/artists/B0CQRYNP6N","https://open.spotify.com/artist/4cTQFFbReuu5qRVoR0vQHe"
"Ceres Fauna","https://music.apple.com/us/artist/ceres-fauna/1624026669","https://music.amazon.co.jp/artists/B09R4K2VVQ","https://open.spotify.com/artist/2nK5kQWRTG8BaHJALnEb4n"
"Charlotte Shimamura","https://music.apple.com/us/artist/charlotte-shimamura/1485359193","",""
"Ci-Chan","https://music.apple.com/us/artist/ci-chan/1682609239","https://music.amazon.co.jp/artists/B0BVHQ1XJL","https://open.spotify.com/artist/0Ub5DEKeTZpDlvUmbWlL5j"
"CIEL","https://music.apple.com/us/artist/ciel/1675332161","https://music.amazon.co.jp/artists/B0BQ66FMBV","https://open.spotify.com/artist/3GhLvx7TLejVZWE1uGLEjf"
"ClariS","https://music.apple.com/us/artist/claris/548139430","https://music.amazon.co.jp/artists/B003XE1R3C","https://open.spotify.com/artist/1YWW7y1tGUz1eC6InbRw9G"
"CONA","https://music.apple.com/us/artist/cona/1775384051","https://music.amazon.co.jp/artists/B0CFBXC22N","https://open.spotify.com/artist/4DiPeCleXBG7NR7k6tzUNY"
"CULUA","https://music.apple.com/us/artist/culua/1745046590","https://music.amazon.co.jp/artists/B0CP1ZKST6","https://open.spotify.com/artist/2Gg5S2wgw1HtTOXJzAUuUH"
"DECO*27","https://music.apple.com/us/artist/deco-27/353899348","https://music.amazon.co.jp/artists/B002UXRGKY","https://open.spotify.com/artist/0rW6eN5RaUSSLFJKhSGj7F"
